FNODE,TNODE,2,3
4745,4758,118.7770733,30.94441254
4758,4745,118.7770733,30.94441254
4758,4779,118.7828828,30.94475988
4758,4832,118.7798847,30.94589383
4758,8363,118.7798715,30.94342286
4779,4758,118.7828828,30.94475988
4779,4852,118.7854427,30.94644539
4779,8364,118.7855392,30.94293131
4832,4758,118.7798847,30.94589383
4832,4852,118.7824447,30.94757934
4832,4918,118.7792442,30.94880105
4832,8365,118.7772356,30.94682914
4852,4779,118.7854427,30.94644539
4852,4832,118.7824447,30.94757934
4852,4942,118.7850544,30.94961467
4917,4918,118.7761726,30.95003874
4917,8365,118.774164,30.94806683
4918,4832,118.7792442,30.94880105
4918,4917,118.7761726,30.95003874
4918,4942,118.7818539,30.95083638
4942,4852,118.7850544,30.94961467
4942,4918,118.7818539,30.95083638
8363,4758,118.7798715,30.94342286
8363,8364,118.7825279,30.94159429
8363,8365,118.7772224,30.94435817
8364,4779,118.7855392,30.94293131
8364,8363,118.7825279,30.94159429
8365,4832,118.7772356,30.94682914
8365,4917,118.774164,30.94806683
8365,8363,118.7772224,30.94435817
