0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1,24,29,27,11,4,22,3,8,28,16,17,10,15,18,2,5,23,26,13,9,19,21,7,25,12,6,20,14
0,1,24,29,27,11,4,22,3,8,28,16,17,10,15,18,2,5,23,26,13,9,19,21,7,25,12,6,20,14
2,5,9,13,6,12,26,23,3,8,7,25,4,22,14,20,10,17,24,29,1,0,11,27,21,19,18,15,16,28
3,8,4,22,27,11,17,10,13,9,29,24,0,1,5,2,23,26,21,19,15,18,6,12,28,16,14,20,25,7
22,4,3,8,29,24,0,1,23,26,5,2,27,11,13,9,17,10,25,7,6,12,28,16,18,15,19,21,20,14
2,5,9,13,6,12,26,23,3,8,7,25,4,22,14,20,10,17,24,29,1,0,11,27,21,19,18,15,16,28
6,12,2,5,14,20,9,13,7,25,3,8,23,26,19,21,22,4,17,10,27,11,24,29,1,0,15,18,16,28
7,25,2,5,26,23,6,12,9,13,4,22,8,3,14,20,24,29,1,0,10,17,19,21,11,27,18,15,16,28
3,8,4,22,27,11,17,10,13,9,29,24,0,1,5,2,23,26,21,19,15,18,6,12,28,16,14,20,25,7
9,13,2,5,3,8,6,12,14,20,19,21,17,10,22,4,27,11,25,7,23,26,24,29,1,0,15,18,16,28
17,10,27,11,3,8,21,19,18,15,9,13,29,24,0,1,16,28,4,22,5,2,20,14,12,6,23,26,7,25
27,11,0,1,24,29,3,8,17,10,16,28,15,18,22,4,13,9,5,2,19,21,26,23,6,12,20,14,25,7
6,12,2,5,14,20,9,13,7,25,3,8,23,26,19,21,22,4,17,10,27,11,24,29,1,0,15,18,16,28
9,13,2,5,3,8,6,12,14,20,19,21,17,10,22,4,27,11,25,7,23,26,24,29,1,0,15,18,16,28
14,20,6,12,13,9,21,19,2,5,17,10,3,8,25,7,22,4,11,27,26,23,15,18,29,24,1,0,16,28
18,15,16,28,17,10,27,11,3,8,0,1,21,19,24,29,9,13,22,4,5,2,20,14,12,6,23,26,7,25
16,28,18,15,27,11,0,1,24,29,10,17,8,3,22,4,21,19,9,13,2,5,23,26,20,14,6,12,7,25
17,10,27,11,3,8,21,19,18,15,9,13,29,24,0,1,16,28,4,22,5,2,20,14,12,6,23,26,7,25
18,15,16,28,17,10,27,11,3,8,0,1,21,19,24,29,9,13,22,4,5,2,20,14,12,6,23,26,7,25
21,19,10,17,13,9,14,20,8,3,12,6,15,18,11,27,5,2,4,22,24,29,1,0,28,16,7,25,23,26
14,20,6,12,13,9,21,19,2,5,17,10,3,8,25,7,22,4,11,27,26,23,15,18,29,24,1,0,16,28
21,19,10,17,13,9,14,20,8,3,12,6,15,18,11,27,5,2,4,22,24,29,1,0,28,16,7,25,23,26
22,4,3,8,29,24,0,1,23,26,5,2,27,11,13,9,17,10,25,7,6,12,28,16,18,15,19,21,20,14
26,23,2,5,4,22,7,25,3,8,6,12,29,24,9,13,0,1,11,27,17,10,20,14,19,21,18,15,28,16
29,24,0,1,27,11,4,22,3,8,28,16,17,10,2,5,15,18,23,26,13,9,19,21,7,25,12,6,20,14
7,25,2,5,26,23,6,12,9,13,4,22,8,3,14,20,24,29,1,0,10,17,19,21,11,27,18,15,16,28
26,23,2,5,4,22,7,25,3,8,6,12,29,24,9,13,0,1,11,27,17,10,20,14,19,21,18,15,28,16
27,11,0,1,24,29,3,8,17,10,16,28,15,18,22,4,13,9,5,2,19,21,26,23,6,12,20,14,25,7
16,28,18,15,27,11,0,1,24,29,10,17,8,3,22,4,21,19,9,13,2,5,23,26,20,14,6,12,7,25
29,24,0,1,27,11,4,22,3,8,28,16,17,10,2,5,15,18,23,26,13,9,19,21,7,25,12,6,20,14
