,class,det
0,2,HI8050d
1,2,HI8050d
2,2,HI8050d
3,2,HI8050d
4,2,HI8050d
5,2,HI8050d
6,2,HI8050d
7,2,HI8050d
8,2,HI8050d
9,2,HI8050d
10,2,HI8050d
11,2,HI8050d
12,2,HI8050d
13,2,HI8050d
14,2,HI8050d
15,2,HI8050d
16,2,HI8050d
17,2,HI8050d
18,2,HI8050d
19,2,HI8050d
20,2,HI8050d
21,2,HI8050d
22,2,HI8050d
23,2,HI8050d
24,2,HI8050d
25,3,HI8050d
26,3,HI8050d
27,3,HI8050d
28,3,HI8050d
29,3,HI8050d
30,3,HI8050d
31,3,HI8050d
32,3,HI8050d
33,3,HI8050d
34,3,HI8050d
35,3,HI8050d
36,3,HI8050d
37,3,HI8050d
38,3,HI8050d
39,3,HI8050d
40,3,HI8050d
41,3,HI8050d
42,3,HI8050d
43,3,HI8050d
44,3,HI8050d
45,3,HI8050d
46,3,HI8050d
47,3,HI8050d
48,3,HI8050d
49,3,HI8050d
50,4,HI8050d
51,4,HI8050d
52,4,HI8050d
53,4,HI8050d
54,4,HI8050d
55,4,HI8050d
56,4,HI8050d
57,4,HI8050d
58,4,HI8050d
59,4,HI8050d
60,4,HI8050d
61,4,HI8050d
62,4,HI8050d
63,4,HI8050d
64,4,HI8050d
65,4,HI8050d
66,4,HI8050d
67,4,HI8050d
68,4,HI8050d
69,4,HI8050d
70,4,HI8050d
71,4,HI8050d
72,4,HI8050d
73,4,HI8050d
74,4,HI8050d
